"","x","y","Co","Ni"
"1",0,0,13.8065805435181,30.9899463653564
"2",100,0,11.9606409072876,25.9089221954346
"3",200,0,8.74210071563721,25.617748260498
"4",300,0,14.0479688644409,23.7712287902832
"5",400,0,15.7273330688477,27.3673362731934
"6",500,0,20.8214912414551,29.1615123748779
"7",600,0,21.7961750030518,30.180721282959
"8",700,0,16.3759632110596,22.0307788848877
"9",800,0,19.0355777740479,26.2820148468018
"10",900,0,17.0096073150635,21.240161895752
"32",0,100,12.6039943695068,26.9634742736816
"33",100,100,12.2663888931274,25.9963912963867
"34",200,100,6.39565849304199,24.5322494506836
"35",300,100,11.0589017868042,15.7952566146851
"36",400,100,23.6992168426514,22.5697708129883
"37",500,100,14.7104921340942,31.6753845214844
"38",600,100,18.379243850708,33.6532287597656
"39",700,100,15.31605052948,29.746976852417
"40",800,100,6.69496393203735,31.1833419799805
"41",900,100,14.3952169418335,26.0360069274902
"63",0,200,11.1530780792236,30.2479686737061
"64",100,200,21.221887588501,25.2102088928223
"65",200,200,9.89585113525391,21.4038772583008
"66",300,200,17.370906829834,26.7684555053711
"67",400,200,17.4981269836426,25.4036064147949
"68",500,200,12.6475954055786,29.1152782440186
"69",600,200,16.0770359039307,27.3322238922119
"70",700,200,15.0667629241943,31.4602222442627
"71",800,200,9.17708969116211,29.6105213165283
"72",900,200,11.2973756790161,31.2034397125244
"94",0,300,21.2025890350342,36.5538635253906
"95",100,300,18.7129287719727,29.2425861358643
"96",200,300,16.8071136474609,22.0840263366699
"97",300,300,16.5957317352295,22.5157794952393
"98",400,300,21.0999546051025,23.4191284179688
"99",500,300,12.8882703781128,27.1026782989502
"100",600,300,12.6296615600586,28.5237255096436
"101",700,300,18.3692264556885,28.492259979248
"102",800,300,15.5589065551758,25.2616138458252
"103",900,300,14.3339366912842,25.8898792266846
"125",0,400,12.1285762786865,27.9009494781494
"126",100,400,18.6114768981934,25.0001316070557
"127",200,400,18.6739845275879,20.6518058776855
"128",300,400,20.1115951538086,19.4320049285889
"129",400,400,22.403112411499,22.6341533660889
"130",500,400,19.4333610534668,28.2169075012207
"131",600,400,15.6511812210083,27.8523750305176
"132",700,400,12.2950668334961,29.6841354370117
"133",800,400,13.3278770446777,27.1154899597168
"134",900,400,17.3535499572754,28.4881725311279
"156",0,500,12.402759552002,28.6082992553711
"157",100,500,18.042875289917,28.7849426269531
"158",200,500,19.1565322875977,21.5669612884521
"159",300,500,24.3681507110596,19.3159008026123
"160",400,500,18.9034328460693,27.058723449707
"161",500,500,20.1408081054688,31.0616569519043
"162",600,500,12.8034133911133,30.0761566162109
"163",700,500,17.4361629486084,27.8975887298584
"164",800,500,16.6383895874023,35.0586242675781
"165",900,500,12.7895965576172,34.0226860046387
"187",0,600,10.68577003479,23.2961254119873
"188",100,600,13.3436622619629,25.8014659881592
"189",200,600,19.0410766601562,24.8707485198975
"190",300,600,16.8594913482666,16.9165096282959
"191",400,600,17.6929016113281,24.7841644287109
"192",500,600,20.0267505645752,24.9296283721924
"193",600,600,13.611967086792,19.8984375
"194",700,600,11.5113897323608,27.7903861999512
"195",800,600,20.576000213623,30.5326538085938
"196",900,600,15.167688369751,27.1621284484863
"218",0,700,7.80487823486328,27.4779624938965
"219",100,700,16.5621700286865,34.3059883117676
"220",200,700,16.8998508453369,32.6503791809082
"221",300,700,20.5072631835938,25.7531681060791
"222",400,700,20.5778255462646,24.556245803833
"223",500,700,19.8057880401611,23.3294734954834
"224",600,700,18.4602737426758,19.8193264007568
"225",700,700,21.7924423217773,20.2820835113525
"226",800,700,15.4648332595825,22.4877681732178
"227",900,700,14.8008136749268,21.8111896514893
"249",0,800,15.5068655014038,31.035343170166
"250",100,800,16.5653419494629,28.2175006866455
"251",200,800,17.9773387908936,27.916482925415
"252",300,800,19.6816253662109,23.2655563354492
"253",400,800,17.3640613555908,24.8829803466797
"254",500,800,12.5918884277344,24.6409912109375
"255",600,800,11.8379135131836,21.0673084259033
"256",700,800,16.6583194732666,20.7276973724365
"257",800,800,20.2723541259766,19.629919052124
"258",900,800,17.1248054504395,25.2871475219727
"280",0,900,17.3033618927002,20.3846626281738
"281",100,900,14.960620880127,30.0143795013428
"282",200,900,13.1066846847534,29.2344245910645
"283",300,900,16.0686378479004,23.101583480835
"284",400,900,16.2463893890381,27.4067096710205
"285",500,900,20.9695529937744,22.4040470123291
"286",600,900,16.0804424285889,18.2733535766602
"287",700,900,14.5682344436646,14.6226758956909
"288",800,900,16.3363609313965,21.4472522735596
"289",900,900,12.2228488922119,18.5765819549561
"311",0,1000,17.1950225830078,26.8158149719238
"312",100,1000,11.9444828033447,23.8503170013428
"313",200,1000,16.8221206665039,26.5530052185059
"314",300,1000,16.3491020202637,33.646068572998
"315",400,1000,19.4252605438232,26.9409980773926
"316",500,1000,16.0084247589111,23.4132213592529
"317",600,1000,15.2903213500977,18.3001346588135
"318",700,1000,19.92405128479,17.9545192718506
"319",800,1000,19.5761451721191,20.2216320037842
"320",900,1000,16.2747383117676,17.2813129425049
"342",0,1100,16.2717094421387,32.074089050293
"343",100,1100,10.7218399047852,35.3436889648438
"344",200,1100,17.3448181152344,20.1864795684814
"345",300,1100,16.9492454528809,21.2832584381104
"346",400,1100,18.3253688812256,22.3272666931152
"347",500,1100,20.1018905639648,25.8151721954346
"348",600,1100,12.8712167739868,23.8067684173584
"349",700,1100,16.2281036376953,22.3236141204834
"350",800,1100,14.7033615112305,18.0432758331299
"351",900,1100,17.8742561340332,29.0038166046143
"373",0,1200,16.1175537109375,35.3458824157715
"374",100,1200,16.2239589691162,31.0753269195557
"375",200,1200,20.5643157958984,23.7744998931885
"376",300,1200,14.7906980514526,25.471851348877
"377",400,1200,15.8503065109253,36.1135940551758
"378",500,1200,17.4230003356934,30.2471370697021
"379",600,1200,12.4329147338867,24.073070526123
"380",700,1200,14.2937669754028,23.901668548584
"381",800,1200,12.1375961303711,27.1795215606689
"382",900,1200,6.91368627548218,23.0131931304932
"404",0,1300,16.3011741638184,23.9722061157227
"405",100,1300,17.4162197113037,27.0511627197266
"406",200,1300,15.5173940658569,28.4246311187744
"407",300,1300,11.2332572937012,18.0048770904541
"408",400,1300,21.054105758667,26.9201564788818
"409",500,1300,13.0446300506592,32.097770690918
"410",600,1300,21.2411403656006,22.785852432251
"411",700,1300,16.2531280517578,23.1393299102783
"412",800,1300,7.30718231201172,25.906229019165
"413",900,1300,12.998363494873,25.0083999633789
"435",0,1400,14.2478551864624,25.7631645202637
"436",100,1400,13.9129047393799,27.006368637085
"437",200,1400,11.4885444641113,25.3755931854248
"438",300,1400,18.2288990020752,32.4356346130371
"439",400,1400,19.6748714447021,26.552490234375
"440",500,1400,11.2635335922241,23.462194442749
"441",600,1400,10.9390830993652,20.9540748596191
"442",700,1400,18.4054794311523,20.7107391357422
"443",800,1400,8.92380809783936,26.6349906921387
"444",900,1400,11.8534984588623,33.0097618103027
"466",0,1500,14.4877986907959,21.8233375549316
"467",100,1500,15.2477979660034,26.6575374603271
"468",200,1500,17.7795238494873,28.3946075439453
"469",300,1500,16.7725658416748,26.1001415252686
"470",400,1500,13.7567987442017,25.3333053588867
